"%s API Call | %s","%s Chiamata API | %s"
"* Required Fields","* Campi obbligatori"
"Optimized mode is recommended for most online stores. Use Synchronous mode only if you need expedited confirmation of authorizations, like when you offer digital downloads.","La modalità ottimizzata è consigliata per la maggior parte dei negozi online. Usa la modalità simultanea solo se hai bisogno di una conferma rapida delle autorizzazioni, ad esempio se offri download digitali."
"Orange (recommended)","Arancione (consigliato)"
"Order status","Stato dell'ordine"
"Order status on Amazon rejected","Stato ordine Amazon declinato"
"Order status on authorization","Stato ordine all'autorizzazione"
"Order status on invalid payment method","Stato ordine per metodo di pagamento non valido."
"Order status on processing failure","Stato ordine per Processing Failure"
"Order status on transaction timed out","Stato ordine per transazione Timed Out"
"Page","Pagina"
"Pay","Paga"
"Payment Action","Azione pagamento"
"Payment Region","Area pagamento"
"Payment region","Area di pagamento"
"per page","per pagina"
"Please agree to all the terms and conditions before placing the order.","Prima di effettuare l'ordine, accetta tutti i termini e le condizioni."
"Please enter this URL in the <strong>Allowed JavaScript Origins</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Inserisci questo URL nel campo <strong>Sorgenti JavaScript consentite</strong> del <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">pannello di controllo</a> in Amazon Seller Central."
"Please enter this URL in the <strong>Allowed Return URLs</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Inserisci questo URL nel campo <strong>URL restituiti consentiti</strong> del <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">pannello di controllo</a> in Amazon Seller Central."
"Please enter this URL in the <strong>Merchant URL</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integration Settings</a> in your Amazon Seller Central.","Inserisci questo URL nel campo <strong>URL venditore</strong> delle <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Impostazioni di integrazione</a> nel tuo Amazon Seller Central."
"Please fill in required data that cannot be retrieved from your Amazon account.","Inserisci la password del negozio per associarla al tuo account Amazon."
"Please note that the total amount will be charged as soon as an order is placed.","Attenzione, verrà addebitato l'importo totale dell'ordine."
"Please provide all required data.","Inserisci tutti i dati obbligatori."
"Pop-up","Pop-up"
"Preview","Anteprima"
"Production (live)","Produzione (live)"
"Query","Richiesta"
"Quick-register Merchant account","Registrazione rapida Account venditore"
"Redirect","Reindirizzamento"
"Redirecting, please wait...","Attendere prego, reindirizzamento in corso..."
"Request Body","Corpo richiesta"
"Request Headers","Intestazioni richiesta"
"Response","Risposta"
"Response code","Codice risposta"
"Response headers","Intestazioni risposta"
"Sandbox (test)","Sandbox (test)"
"Sandbox Mode","Modalità Sandbox"
"Sandbox Toolbox","Strumenti Sandbox"
"Sandbox toolbox","Strumenti sandbox"
"Secret Access Key","Chiave d'accesso segreta"
"Select appropriate store view scope to display IPN endpoint URL","Seleziona l'ambito di visualizzazione del negozio appropriato per mostrare URL endpoint IPN"
"Select whether an email confirmation for newly placed orders shall be sent by the shop","Seleziona se il negozio invierà un'e-mail di conferma per i nuovi ordini."
"Seller Central configuration","Configurazione Seller Central"
"Send order confirmation","Invia conferma ordini"
"Sender","Mittente"
"Sender email address for automatic decline emails","Indirizzo e-mail del mittente per le e-mail di rifiuto automatico"
"Settings","Impostazioni"
"Show detailed options to simulate different decline scenarios","Mostra le opzioni dettagliate per simulare diversi scenari di rifiuto"
"Show Sandbox Toolbox","Mostra strumenti Sandbox"
"Show the Amazon Pay button only to the listed IPs.","Mostra il pulsante Amazon Pay solo agli IP elencati."
"Sign-in screen","Schermata di accesso"
"Small","Piccolo"
"Soft descriptor","Soft descriptor"
"Spanish","Spagnolo"
"Stack trace","Stack trace"
"Store name","Nome negozio"
"Store Options","Opzioni Negozio"
"Stores","Negozi"
"Synchronous","Sincrono"
"Tan","Marrone chiaro"
"The name that appears on the customer's payment instrument statement","Il nome che appare sull'estratto conto dello strumento di pagamento del cliente"
"There has been a problem with the selected payment method from your Amazon account, please choose another payment method from you Amazon account or return to the cart to choose another checkout method.","Si è verificato un problema con il metodo di pagamento selezionato dal tuo account Amazon. Seleziona un altro metodo di pagamento dal tuo account Amazon o torna al carrello e scegli un modo diverso di completare l'acquisto."
"There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one.","Si è verificato un problema con il metodo di pagamento selezionato dal tuo account Amazon. Aggiorna il metodo di pagamento o scegline uno diverso."
"There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one. If you are using a credit card, make sure you have sufficient funds on the card and try again.","Si è verificato un problema con il metodo di pagamento selezionato dal tuo account Amazon. Aggiorna il metodo di pagamento o scegline uno diverso. Se stai usando una carta di credito, assicurati di avere fondi a sufficienza sulla carta e riprova."
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore durante l'elaborazione dell'ordine. Contattaci o riprova più tardi."
"This extension integrates easily your Magento shop with Amazon Pay service.","Questa estensione integra facilmente il negozio Magento con il servizio Amazon Pay."
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","Questa funzione richiede che sul server sia installato un valido certificato SSL. Assicurati che il certificato SSL sia stato emesso da un'autorità di certificazione affidabile. Non sono ammesse autocertificazioni."
"This is not valid Seller Central configuration JSON","Questa non è una configurazione Seller Central JSON valida"
"To configure Amazon Pay, use Sandbox (test). When you're ready to receive real transactions, switch to Production (live).","Per configurare Amazon Pay, usa l’ambiente Sandbox (test). Quando pensi di essere in grado di ricevere transazioni reali, passa all’ambiente Produzione (live)."
"Total %d records found","%d record totali trovati"
"United Kingdom","Regno Unito"
"United States","Stati Uniti"
"Update payment method","Aggiorna il metodo di pagamento"
"URL","URL"
"Use quick configuration option...","Usa l'opzione di configurazione rapida..."
"Use responsive widgets","Usa widget reattivi"
"Use these credentials","Usa queste credenziali"
"Use these credentials and save","Usa queste credenziali e salva"
"Use your Amazon Account","Usa il tuo account Amazon"
"Validate Amazon Payments account","Convalida conto Amazon Payments"
"View","Visualizza"
"Wallet widget height","Altezza widget portafoglio"
"Wallet widget width","Larghezza widget portafoglio"
"Whether to show a toolbox in the checkout for simulating different payment scenarios.","Scegli se mostrare uno strumento al checkout per simulare diverse situazioni di pagamento."
"Whoops! Your Access Key ID seems to be invalid.","Ops! Chiave d'accesso non valida."
"Whoops! Your Merchant ID seems to be invalid.","Ops! Numero venditore non valido."
"Whoops! Your Secret Access Key seems to be invalid.","Ops! Chiave d'accesso segreta non valida."
"With Amazon Pay, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","Con Amazon Pay, puoi usare le informazioni su pagamento e spedizione registrate nel tuo account Amazon per effettuare un ordine su questo sito web. È un modo pratico e affidabile di pagare, utilizzato da milioni di utenti."
"X-Large","Molto grande"
"You have aborted the login with Amazon. Please contact us or try again.","Hai interrotto l'accesso con Amazon. Contattaci o riprova."
"Your language","Lingua"
"Your store name in customer-facing communication from Amazon Payments","Il nome del tuo negozio per le comunicazioni ai clienti da parte di Amazon Payments"
