"%s API Call | %s","%s Llamada API | %s"
"* Required Fields","* Campos obligatorios"
"Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>","Información sobre la cuenta <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">hier</a>"
"Action","Acción"
"Activates plugin logging mechanism.","Activa el mecanismo de inicio de sesión del plugin."
"Add New","Añadir nuevo"
"Address widget height","Altura del Widget de direcciones"
"Address widget width","Anchura del Widget de direcciones"
"Allow your customers to sign in to your website using their Amazon credentials","Permite a tus clientes iniciar sesión en tu sitio web a través de sus credenciales de Amazon."
"Allowed IPs (comma separated)","IPs permitidas (separadas por coma)"
"Allowed JavaScript Origins","Orígenes de JavaScript permitidos"
"Allowed Return URLs","Direcciones URL de retorno permitidas"
"Amazon Cronjobs","Cronjobs Amazon"
"Amazon logo","Logo de Amazon"
"Amazon Order Reference ID: %s","Numero de orden de referencia de Amazon: %s"
"Amazon Order Reference ID: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>","Numero de orden de referencia de Amazon: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>"
"Amazon Pay","Amazon Pay"
"Amazon Pay (Sandbox)","Amazon Pay (Sandbox)"
"Amazon Pay and Login with Amazon","Amazon Pay y Login con Amazon"
"Amazon Pay and Login with Amazon settings","Configuración de Amazon Pay y Login con Amazon"
"Amazon Pay API Call","Amazon Pay - llamada API"
"Amazon Pay API Calls","Amazon Pay - llamadas API"
"Amazon Pay Exception","Amazon Pay - Excepción"
"Amazon Pay Exception | %s","Amazon Pay - Excepción | %s"
"Amazon Pay Exceptions","Amazon Pay - Excepciones"
"Amazon Payments Account","Cuenta de Amazon Payments"
"Amazon Seller Central","Amazon Seller Central"
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","Una autorización de %s ha sido procesada por Amazon Payments (%s). El nuevo estado es %s."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","Un pedido de %s ha sido procesado por Amazon Payments (%s). El nuevo estado es %s."
"API Call details","Detalles de las llamadas API"
"Appearance Settings","Configuración de apariencia"
"Appearance Settings for Amazon Pay and Login with Amazon","Configuración de apariencia de Amazon Pay y Login con Amazon"
"Appearance Settings for standalone Amazon Pay","Configuración de apariencia de Amazon Pay solamente"
"Asynchronous","Asíncrono"
"Authentication Experience","Experiencia de autentificación"
"Authorization processing","Procesamien to de autorización"
"Authorization Processing Mode","Modo de procesado de la autorización"
"Authorize","Autorizar"
"Authorize & capture","Autorizar & capturar"
"Auto","Automático"
"Back","Atrás"
"Backend / order processing","Backend / procesamiento del pedido"
"Button color","Color del botón"
"Button size","Tamaño del botón"
"Button type","Tipo del botón"
"By selecting Login with Amazon, you will be asked to sign-in securely to your Amazon account without leaving the shop.","Al seleccionar Login con Amazon, tendrás que iniciar sesión con seguridad en tu cuenta de Amazon sin salir de la tienda."
"Cancel","Cancelar"
"Choose between the popup authentication screen and a redirect to an Amazon Pay authentication page. To have popup or redirect set automatically according to your customer's display size, choose automatic.","Elige entre la ventana emergente de autentificación o redirigirte a la página de autentificación de Amazon Pay. Para configurar automáticamente la ventana emergente o la redirección en función del tamaño de la pantalla del cliente, elige la opción de automático."
"Choose the currency associated with your Amazon Payments merchant account (your ledger currency)","Selecciona la divisa asociada a tu cuenta de vendedor de Amazon Payments (tu divisa contable)"
"Choose your payment region and click to quick-register.","Elige tu regigión de pago y haz click para registrarte rápidamente."
"Client ID","ID de cliente"
"Code","Código"
"Common Appearance Settings","Configuración General de Apariencia"
"Communication","Comunicación"
"Configuration","Configuración"
"Congratulations! Your Amazon Payments account settings seem to be OK.","¡Enhorabuena! Parece que la configuración de tu cuenta de Amazon Payments es correcta."
"Copy your keys from Seller Central (JSON) and paste them here","Copia las claves de Seller Central (JSON) y pégalas aquí"
"creativestyle Extensions","Extensiones creativestyle"
"Currently, you can use your Amazon account to log into your shop account. In order to remove the connection to your Amazon account click on ""Disconnect"".","Actualmente puedes utilizar tu cuenta de Amazon para ingresar en la cuenta de tu tienda. Para remover la conexión con tu cuenta de Amazon haz click en ""Desconectar""."
"Dark gray","Gris oscuro"
"Data polling frequency","Frecuencia de polling de datos"
"Date","Fecha"
"Dear buyer, it looks like you already have an account in this shop. Please enter the password for your shop account here for once to make sure you are the authorized user of this account. We will not ask you for this anymore afterwards.","Querido vendedor, parece que todavía tienes una cuenta en esta tienda. Por favor, inserta tu contraseña aquí para verificar que eres el usuario autorizado de la cuenta. No se te solicitará esta información de nuevo en el futuro."
"Debug data","Debug datos"
"Declined Payment Email Sender","Remitente email pago rechazado"
"Declined Payment Email Template","Plantilla email pago rechazado"
"Developer Options","Opciones desarrollador"
"Developer options","Opciones de desarrollador"
"Disconnect","Desconectar"
"Display Language","Mostrar idioma"
"Display language","Mostrar idioma"
"Display name on bank account statement","Mostrar nombre en los extractos bancarios"
"Display on Product Details Page","Incluir en la pagina del producto"
"Don't have a merchant account yet? Register here","¿Aún no tienes una cuenta de vendedor? Registrate aquí"
"Download as CSV","Descargar en formato CSV"
"E-mail templates","Plantillas de correo electrónico"
"Each logfile will be rotated when it exceeds size of 8 Megabytes","Un nuevo archivo se generará al sobrepasar 8 Megabytes"
"Email Options","Opciones de email"
"Email template to be sent when a transaction was declined because of an invalid payment instrument","Plantilla de correo electrónico que se envía cuando no se acepta una transacción debido a un método de pago no válido"
"Enable","Activado"
"Enable Amazon Pay","Activar Amazon Pay"
"Enable Instant Payment Notifications","Activar IPNs - Notificaciones de pago instantáneas"
"Enable logging","Permitir inicio de sesión"
"Enable Login with Amazon","Activar Login con Amazon"
"English","Inglés"
"Enter a value between 200 and 600 pixels. For one-column widget please enter width less than 400.","Introduce un valor entre 200 y 600 píxels. Para widgets de una única columna, introduce una anchura menor que 400 píxels."
"Enter a value between 228 and 400 pixels","Introduce un valor entre 228 y 400 píxels"
"ERP mode","Modo ERP"
"Eurozone","Eurozona"
"Event Observers","Observadores de eventos"
"Exception code","Código de excepción"
"Exception details","Detalles de excepción"
"Exception message","Mensaje de excepción"
"Expert Mode","Modo experto"
"Extension documentation","Documentación de extensión"
"Extracted XML message","Mensaje XML extraído"
"French","Francés"
"Frontend","Frontend"
"General Info","Información General"
"General Settings","Configuración General"
"German","Alemán"
"Germany","Alemania"
"Gold","Dorado"
"In Sandbox Mode you can simulate certain states of selected payment objects.","En modo Sandbox puedes simular algunos estados de los objetos de pago"
"Installed Magento extensions","Extensiones de Magento instaladas"
"Installed PHP modules","Módulos PHP instalados"
"Invalid password","Contraseña no válida"
"Invalid payment method","Método de pago no válido"
"IPN %s | %s","IPN %s | %s"
"IPN endpoint URL","URL para IPNs"
"IPN Notification","Notificación IPN"
"IPN Notifications","Notificaciones IPN"
"Italian","Italiano"
"Large","Grande"
"Leave empty for access from any location","Dejar vacío para permitir acceso desde cualquier lugar"
"Light gray","Gris claro"
"Login","Login"
"Login with Amazon","Login con Amazon"
"Magento Settings","Configuración de Magento"
"Manual authorization","Autorización manual"
"Marketplace","Marketplace"
"Medium","Medio"
"Merchant ID","ID del vendedor"
"Message","Mensaje"
"More about <em>creativestyle</em>","Más información sobre <em>creativestyle</em>"
"New order status","Estado para pedidos nuevos"
"Next page","Siguiente página"
"No, use data polling instead","No, usar polling"
"Notification type","Tipo de Notificación"
"of %s pages","de %s páginas"
"Operation mode","Funcionamiento"
"Optimized","Optimizado"
"Optimized mode is recommended for most online stores. Use Synchronous mode only if you need expedited confirmation of authorizations, like when you offer digital downloads.","El modo optimizado es recomendado para la mayoría de tiendas en línea. Usa el modo Síncrono sólo si necesitas la confirmación inmediata de las autorizaciones, por ejemplo, si ofreces descargas digitales."
"Orange (recommended)","Naranja (recomendado)"
"Order status","Estado del pedido"
"Order status on Amazon rejected","Estado del pedido Amazon rechazado"
"Order status on authorization","Estado pedido tras autorización"
"Order status on invalid payment method","Estado pedido método de pago no válido"
"Order status on processing failure","Estado pedido Processing Failure"
"Order status on transaction timed out","Estado pedido transacción Timed Out"
"Page","Página"
"Pay","Pago"
"Payment Action","Acción de pago"
"Payment Region","Región de pago"
"Payment region","Región de pago"
"per page","por página"
"Please agree to all the terms and conditions before placing the order.","Por favor, acepte todos los términos y condiciones antes de confirmar el pedido"
"Please enter this URL in the <strong>Allowed JavaScript Origins</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Introduce esta dirección URL en el campo <strong>Orígenes de JavaScript permitidos</strong> del <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Panel de control</a> de tu cuenta de Seller Central."
"Please enter this URL in the <strong>Allowed Return URLs</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Control Panel</a> in your Amazon Seller Central.","Introduce esta dirección URL en el campo <strong>Direcciones URL de retorno permitidas</strong> del <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Panel de control</a> de tu cuenta Seller Central."
"Please enter this URL in the <strong>Merchant URL</strong> field of the <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"">Integration Settings</a> in your Amazon Seller Central.","Por favor, introduce esta URL en el campo <strong>Merchant URL</strong> de <a target=""""_blank"""" href=""""https://sellercentral-europe.amazon.com/gp/pyop/seller/account/settings/user-settings-view.html"""">Configuración de Integración</a> en tu cuenta de Seller Central."
"Please fill in required data that cannot be retrieved from your Amazon account.","Introduce la información necesaria que no se pueda extraer de tu cuenta de Amazon."
"Please note that the total amount will be charged as soon as an order is placed.","Por favor, tenga en cuenta que el importe total será cargardo una vez que el pedido esté listo para ser enviado"
"Please provide all required data.","Introduce toda la información necesaria."
"Pop-up","Elemento emergente"
"Preview","Vista previa"
"Production (live)","Producción (en tiempo real)"
"Query","Consulta"
"Quick-register Merchant account","Registro rápido de cuenta de vendedor"
"Redirect","Redireccionar"
"Redirecting, please wait...","Redirigiendo, espere por favor..."
"Request Body","Cuerpo de la solicitud"
"Request Headers","Encabezados de la solicitud"
"Response","Respuesta"
"Response code","Código de respuesta"
"Response headers","Encabezados de la respuesta"
"Sandbox (test)","Sandbox (prueba)"
"Sandbox Mode","Modo Sandbox"
"Sandbox Toolbox","Herramientas de Sandbox"
"Sandbox toolbox","Kit de herramientas de sandbox"
"Secret Access Key","Clave de acceso secreta"
"Select appropriate store view scope to display IPN endpoint URL","Por favor, selecciona la vista de configuración de tienda apropiada para mostrar tu URL para IPNs"
"Select whether an email confirmation for newly placed orders shall be sent by the shop","Seleccionar para enviar un email de confirmación desde la tienda para pedidos nuevos"
"Seller Central configuration","Configuración de Seller Central"
"Send order confirmation","Enviar confirmación de pedido"
"Sender","Remitente"
"Sender email address for automatic decline emails","Dirección de correo electrónico del remitente para correos electrónicos automáticos de rechazo"
"Settings","Configuración"
"Show detailed options to simulate different decline scenarios","Mostrar opciones detalladas para simular distintos escenarios de declinación"
"Show Sandbox Toolbox","Mostrar herramientas de Sandbox"
"Show the Amazon Pay button only to the listed IPs.","Mostrar el botón de Amazon Pay sólo en las IP de la lista."
"Sign-in screen","Pantalla de inicio de sesión"
"Small","Pequeño"
"Soft descriptor","Soft descriptor"
"Spanish","Español"
"Stack trace","Stack trace"
"Store name","Nombre de la tienda"
"Store Options","Opciones de la tienda"
"Stores","Tiendas"
"Synchronous","Síncrono"
"Tan","Bronceado"
"The name that appears on the customer's payment instrument statement","El nombre que aparece en el extracto de pago del cliente"
"There has been a problem with the selected payment method from your Amazon account, please choose another payment method from you Amazon account or return to the cart to choose another checkout method.","Se ha producido un problema con el método de pago seleccionado en tu cuenta de Amazon. Selecciona otro método de pago o vuelve a la cesta para seleccionar otro método de finalización de la compra."
"There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one.","Se ha producido un problema con el método de pago seleccionado en tu cuenta de Amazon. Actualiza el método de pago o selecciona otro."
"There has been a problem with the selected payment method from your Amazon account, please update the payment method or choose another one. If you are using a credit card, make sure you have sufficient funds on the card and try again.","Se ha producido un problema con el método de pago seleccionado en tu cuenta de Amazon. Actualiza el método de pago o selecciona otro. Si estás usando una tarjeta de crédito, confirma que tenga suficientes fondos y vuelve a intentar."
"There was an error processing your order. Please contact us or try again later.","Se ha producido un error al procesar su pedido. Por favor, contáctenos o inténtelo de nuevo más tarde."
"This extension integrates easily your Magento shop with Amazon Pay service.","Esta extensión integra de manera sencilla tu tienda Magento con el Servicio de Amazon Pay"
"This feature requires valid SSL certificate to be installed on this server. Pay attention that the SSL certificate must be issued by a trusted Certificate Authority, self-signed certificates are not permitted.","Esta feature require que un certificado SSL esté instalado en el servidor. Asegúrate de que el certificado SSL sea expedido por una Certificate Authority de confianza. Los certificados autofirmados no están permitidos."
"This is not valid Seller Central configuration JSON","Esta configuración de Seller Central (JSON) no es válida"
"To configure Amazon Pay, use Sandbox (test). When you're ready to receive real transactions, switch to Production (live).","Para configurar Amazon Pay, usa Sandbox (prueba). Cuando estés preparado para recibir transacciones reales, cambia a Producción (en tiempo real)."
"Total %d records found","Total %d entradas encontradas"
"United Kingdom","Reino Unido"
"United States","Estados Unidos"
"Update payment method","Actualiza tu método de pago"
"URL","URL"
"Use quick configuration option...","Usar opción de configuración rápida..."
"Use responsive widgets","Usar widgets responsivos"
"Use these credentials","Usar estas credenciales"
"Use these credentials and save","Usar estas credenciales y guardar"
"Use your Amazon Account","Utiliza tu cuenta de Amazon"
"Validate Amazon Payments account","Validar cuenta de Amazon Payments"
"View","Vista"
"Wallet widget height","Altura del widget de pagos"
"Wallet widget width","Anchura del widget de pagos"
"Whether to show a toolbox in the checkout for simulating different payment scenarios.","Mostrar herramientas de test en el checkout para simular diferentes escenarios de pago."
"Whoops! Your Access Key ID seems to be invalid.","¡Vaya! Parece que tu ID de clave de acceso no es válido."
"Whoops! Your Merchant ID seems to be invalid.","¡Vaya! Parece que tu ID de vendedor no es válido."
"Whoops! Your Secret Access Key seems to be invalid.","¡Vaya! Parece que tu ID de clave de acceso secreta no es válido."
"With Amazon Pay, you can use the shipping and payment information stored in your Amazon account to place an order on this website. It's a convenient and trusted way to pay that's enjoyed by millions of people.","Con Amazon Pay podrás utilizar la información de envío y pago almacenada en tu cuenta de Amazon para realizar pedidos en la página web. Supone una forma de pago conveniente y fiable que ya disfrutan millones de compradores."
"X-Large","Muy grande"
"You have aborted the login with Amazon. Please contact us or try again.","Has cancelado el inicio de sesión con Amazon. Ponte en contacto con nosotros o inténtalo de nuevo."
"Your language","Tu idioma"
"Your store name in customer-facing communication from Amazon Payments","El nombre de la tienda en las comunicaciones de Amazon Payments con el cliente"
